"survey_id" "water_id" "water_id_num" "lon" "lat" "utm_x" "utm_y" "transect_location" "transect_GRR" "transect_id" "river_class" "year" "week" "weeks_all" "juldate" "dry_season" "distance_to_water" "distance_to_water_rounded" "species" "species_id" "FEEDTYPE_A" "feed_type_A_char" "species_count"
"1" 1 "726" 726 34.97158 -7.65774 717486 9153040 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 509.71 510 "I" 1 3 "mixed" 17
"2" 3 "730" 730 34.97609 -7.65819 717983 9152988 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 422 422 "I" 1 3 "mixed" 7
"3" 4 "733" 733 34.97871 -7.65819 718272 9152987 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 409.15 409 "I" 1 3 "mixed" 1
"4" 5 "744" 744 34.98636 -7.65722 719117 9153090 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 307.18 307 "I" 1 3 "mixed" 1
"5" 6 "761" 761 34.98897 -7.63974 719414 9155023 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 914.39 914 "I" 1 3 "mixed" 1
"6" 7 "762" 762 34.98932 -7.63795 719453 9155220 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 1041.33 1041 "Z" 5 1 "grazer" 5
"7" 8 "762" 762 34.98932 -7.63795 719453 9155220 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 1041.33 1041 "I" 1 3 "mixed" 7
"8" 9 "762" 762 34.98932 -7.63795 719453 9155220 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 1041.33 1041 "Wh" 6 4 "omni" 5
"9" 10 "773" 773 34.98959 -7.63633 719484 9155400 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 1093.15 1093 "I" 1 3 "mixed" 7
"10" 11 "773" 773 34.98959 -7.63633 719484 9155400 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 1093.15 1093 "G" 2 2 "browser" 1
"11" 12 "782" 782 34.99037 -7.63251 719572 9155822 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 958.8 959 "I" 1 3 "mixed" 3
"12" 14 "782" 782 34.9905 -7.63148 719587 9155936 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 910.48 910 "G" 2 2 "browser" 1
"13" 15 "786" 786 34.99546 -7.62403 720138 9156757 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 397.29 397 "I" 1 3 "mixed" 10
"14" 16 "797" 797 35.0048 -7.61958 721171 9157245 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 216.46 216 "I" 1 3 "mixed" 42
"15" 17 "817" 817 35.00159 -7.60614 720824 9158733 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 463.77 464 "I" 1 3 "mixed" 6
"16" 18 "836" 836 35.00954 -7.58773 721711 9160765 1 "alongside" 9 "2_midstream" 2011 1 1 6 "early" 331.89 332 "I" 1 3 "mixed" 24
"17" 20 "478" 478 34.84337 -7.78797 703275 9138699 1 "alongside" 7 "1_upstream" 2011 1 1 7 "early" 204.82 205 "I" 1 3 "mixed" 17
"18" 21 "455" 455 34.83148 -7.79411 701961 9138026 1 "alongside" 7 "1_upstream" 2011 1 1 7 "early" 285.59 286 "I" 1 3 "mixed" 3
"19" 22 "455" 455 34.83148 -7.79411 701961 9138026 1 "alongside" 7 "1_upstream" 2011 1 1 7 "early" 285.59 286 "I" 1 3 "mixed" 1
"20" 23 "483" 483 34.84831 -7.78543 703822 9138978 1 "alongside" 7 "1_upstream" 2011 1 1 7 "early" 273.79 274 "I" 1 3 "mixed" 1
"21" 24 "476" 476 34.84252 -7.7886 703181 9138630 1 "alongside" 7 "1_upstream" 2011 1 1 7 "early" 232.66 233 "K" 4 2 "browser" 5
