"mod_names"	"Estimate"	"Std. Error"	"z value"	"Pr(>|z|)"
"(Intercept)"	6.2252555	0.1929843	32.2578297	0
"speciesWb"	-0.1211983	0.2239055	-0.5412922	0.5883062
"speciesB"	-0.0662657	0.2355988	-0.2812649	0.7785072
"speciesI"	-0.3846388	0.1378229	-2.7908184	0.0052575
"speciesE"	-0.2240132	0.1683049	-1.3309964	0.1831902
"speciesG"	-0.0017353	0.1550365	-0.011193	0.9910694
"speciesK"	-0.0222811	0.1802583	-0.1236065	0.9016269
"speciesWh"	-0.3025418	0.2108144	-1.4351098	0.1512558
"speciesCD"	-0.7980825	0.7003971	-1.1394715	0.2545065
"juldate"	0.0016196	0.001148	1.4108539	0.1582877
"transect_GRRperpendicular"	1.8747369	0.2193486	8.5468387	0
"speciesWb:juldate"	0.0002521	0.002091	0.1205843	0.9040203
"speciesB:juldate"	-0.0003128	0.0022736	-0.1375957	0.8905599
"speciesI:juldate"	4.22e-05	0.0011781	0.0358138	0.9714309
"speciesE:juldate"	0.0010573	0.0014515	0.7284272	0.4663521
"speciesG:juldate"	2.9e-06	0.0013443	0.0021939	0.9982496
"speciesK:juldate"	-0.0016991	0.0015099	-1.1252978	0.2604629
"speciesWh:juldate"	0.0010123	0.0016666	0.6074009	0.5435849
"speciesCD:juldate"	0.0028905	0.0021284	1.3580478	0.1744485
"speciesWb:transect_GRRperpendicular"	-0.3543136	0.2909433	-1.2178096	0.2232963
"speciesB:transect_GRRperpendicular"	-0.6967291	0.3958537	-1.7600673	0.0783964
"speciesI:transect_GRRperpendicular"	0.5363417	0.1038501	5.1645782	2e-07
"speciesE:transect_GRRperpendicular"	-0.020448	0.1311143	-0.1559554	0.8760682
"speciesG:transect_GRRperpendicular"	0.1103879	0.1170351	0.9432039	0.3455766
"speciesK:transect_GRRperpendicular"	0.4180464	0.132363	3.1583315	0.0015868
"speciesWh:transect_GRRperpendicular"	0.5827972	0.1573347	3.7041872	0.0002121
"speciesCD:transect_GRRperpendicular"	0.7738626	0.6524809	1.186031	0.23561
