"transect_GRR"	"species"	"feed_type_A_char"	"sum_species_count_2011_early"	"sum_species_count_2011_late"	"sum_species_count_2012_early"	"sum_species_count_2012_late"	"sum_species_count_2013_early"	"sum_species_count_2013_late"	"mean_group_size_2011_early"	"mean_group_size_2011_late"	"mean_group_size_2012_early"	"mean_group_size_2012_late"	"mean_group_size_2013_early"	"mean_group_size_2013_late"	"mean_species_distance_2011_early"	"mean_species_distance_2011_late"	"mean_species_distance_2012_early"	"mean_species_distance_2012_late"	"mean_species_distance_2013_early"	"mean_species_distance_2013_late"
"alongside"	"Z"	"grazer"	48	82	151	211	57	149	8	5.47	8.88	8.44	7.12	7.84	871.46	758.08	720.05	601.66	658.52	675.92
"alongside"	"Wb"	"grazer"	40	21	21	16	12	36	2.86	3.5	2.62	2.29	3	4.5	583.71	885.52	478.74	672.25	475.22	559.55
"alongside"	"B"	"grazer"	1109	230	1178	102	182	95	138.62	46	107.09	51	22.75	15.83	342.84	713.63	287.08	248.16	429.16	414.39
"alongside"	"I"	"mixed"	2967	2669	3332	3159	3663	3140	10.45	10.85	11.11	12.34	10.68	10.75	417.44	546.57	500.5	431.49	389.95	394.97
"alongside"	"E"	"mixed"	141	146	109	137	172	258	5.64	5.21	5.45	5.27	6.88	6.29	457	830.42	508.28	698.07	622.05	656.42
"alongside"	"G"	"browser"	91	104	74	80	61	87	2.39	2.26	2.24	2.22	2.1	1.98	841.5	702.49	770.56	727.86	721.86	624.02
"alongside"	"K"	"browser"	52	96	61	111	43	127	4.33	4.57	5.08	4.83	3.91	4.38	752.84	575.25	940.31	436.48	712.07	510.25
"alongside"	"Wh"	"omni"	20	42	15	22	10	16	2.22	2.1	2.5	1.83	2.5	2.29	325.81	747.1	417.43	555.97	296.9	266.33
"alongside"	"CD"	"omni"	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	307.02
"perpendicular"	"Z"	"grazer"	86	102	91	33	58	51	6.14	6.38	5.35	4.12	5.27	3.92	2304.21	3515.57	3157.54	3033.68	2728.55	3256.05
"perpendicular"	"Wb"	"grazer"	2	NA	NA	NA	NA	14	1	NA	NA	NA	NA	3.5	1417.03	NA	NA	NA	NA	2224.17
"perpendicular"	"B"	"grazer"	NA	2	2	NA	90	NA	NA	2	2	NA	90	NA	NA	669.46	1170.44	NA	2119.41	NA
"perpendicular"	"I"	"mixed"	618	617	698	863	755	531	7.36	8.01	5.63	7.64	6.68	4.83	3082.84	4950.42	3482.52	4383.78	3972.3	5652.24
"perpendicular"	"E"	"mixed"	25	33	63	136	74	65	4.17	6.6	4.85	5.44	3.7	5	1577.23	1627.83	2771.91	2949.35	3038.09	2930.47
"perpendicular"	"G"	"browser"	90	55	92	56	69	45	2.25	1.83	2.24	1.51	2.23	1.88	2906.23	3650.08	3653.69	4777.43	3657.35	5131.04
"perpendicular"	"K"	"browser"	32	56	51	66	71	76	2.46	3.29	2.83	3.14	3.23	3.62	5126.88	5312.6	3839.12	6370.07	4486.44	6070.48
"perpendicular"	"Wh"	"omni"	27	29	34	21	35	10	2.25	2.64	2.43	1.75	2.5	1.67	5856.66	3570.59	5250.99	6205.8	5876.95	9355.46
"perpendicular"	"CD"	"omni"	12	10	6	7	11	13	1.2	1	1	1	1.1	1.08	6129.26	7612.64	2516.98	7827.29	6253.06	7073.99
